DateTime, AirPress_hPa
2025/02/01 00:00,887.284021
2025/02/01 00:01,887.287962
2025/02/01 00:02,887.282705
2025/02/01 00:02,887.288614
2025/02/01 00:03,887.286644
2025/02/01 00:04,887.257105
2025/02/01 00:04,887.264984
2025/02/01 00:05,887.280075
2025/02/01 00:06,887.284678
2025/02/01 00:06,887.276798
2025/02/01 00:07,887.259722
2025/02/01 00:07,887.259722
2025/02/01 00:08,887.220991
2025/02/01 00:09,887.227556
2025/02/01 00:10,887.270226
2025/02/01 00:10,887.268913
2025/02/01 00:11,887.257765
2025/02/01 00:12,887.307661
2025/02/01 00:12,887.310287
2025/02/01 00:13,887.333267
2025/02/01 00:13,887.330641
2025/02/01 00:14,887.379885
2025/02/01 00:14,887.383167
2025/02/01 00:15,887.427811
2025/02/01 00:15,887.423216
2025/02/01 00:16,887.44948
2025/02/01 00:16,887.44948
2025/02/01 00:17,887.476402
2025/02/01 00:17,887.479685
2025/02/01 00:18,887.530897
2025/02/01 00:18,887.527615
2025/02/01 00:19,887.549276
2025/02/01 00:19,887.554529
2025/02/01 00:20,887.560446
2025/02/01 00:21,887.555841
2025/02/01 00:22,887.56241
2025/02/01 00:23,887.560436
2025/02/01 00:24,887.583418
2025/02/01 00:25,887.603781
2025/02/01 00:25,887.604437
2025/02/01 00:26,887.59326
2025/02/01 00:26,887.590633
2025/02/01 00:27,887.614279
2025/02/01 00:28,887.607054
2025/02/01 00:29,887.575542
2025/02/01 00:30,887.552563
2025/02/01 00:31,887.540083
2025/02/01 00:32,887.542717
2025/02/01 00:33,887.534176
2025/02/01 00:34,887.511196
2025/02/01 00:34,887.511196
2025/02/01 00:35,887.479681
2025/02/01 00:35,887.475084
2025/02/01 00:36,887.494131
2025/02/01 00:36,887.496758
2025/02/01 00:37,887.471796
2025/02/01 00:37,887.474422
2025/02/01 00:38,887.419275
2025/02/01 00:39,887.415337
2025/02/01 00:39,887.414679
2025/02/01 00:40,887.432413
2025/02/01 00:41,887.40221
2025/02/01 00:42,887.457357
2025/02/01 00:43,887.479685
2025/02/01 00:44,887.480995
2025/02/01 00:45,887.509239
